A	B	C	D	E	E-oe	E-ea	E-oa	E-eo	F	G	H	I	I-oe	I-oa	I-ea
En el	cielo	de Madrid	han entrado	E-oe	los ladrones	las estrellas	las pastoras	los camellos	y al bueno de	San José	le han robado	I-oe	los calzones	por la boca	sin orejas
Tras el	portal	de tu casa	han llegado	E-ea	los ratones	las ovejas	las carrozas	los corderos	y al niño de	Nazaret	le han dejado	I-oa	unos bombones	la corona	unas cervezas
Por el	monte	de Belén 	han venido	E-oa	los calores				y al burro de	Navidad	le han manchado	I-ea	unos cartones	una consola	unas collejas
Desde el	niño	de tu casa	han bajado	E-eo	los dolores				y al triste de	mi vecino	le han traído	E-eo	dos cajones		dos y media
Entre el	pozo	de la noche	han volado		los pastores				y al pastor de	cada casa	le han llevado				su dinero
Frente al	río	con estrellas	han pasado												por el suelo
		por la noche	ya venían												su consuelo
		de Judea	ya se asoman												
		de los niños	ya llegaban												
		del colegio	van viniendo												
